Reading parameters:
	 rhs_function=2
	 nx=161
	 ny=161
	 foutput=1000
	 nstep_max=100000
	 tolerance=1e-08
Step 630, Diff=0.0138015
Step 631, Diff=0.0138015
Step 632, Diff=0.0138015
Step 633, Diff=0.0138015
Step 634, Diff=0.0138015
Step 635, Diff=0.0138015
Step 636, Diff=0.0138015
Step 637, Diff=0.0138015
Step 638, Diff=0.0138015
Step 639, Diff=0.0138015
Step 640, Diff=0.0138015
Step 641, Diff=0.0138015
Step 642, Diff=0.0138015
Step 643, Diff=0.0138015
Step 644, Diff=0.0138015
Step 645, Diff=0.0138015
Step 646, Diff=0.0138015
Step 647, Diff=0.0138015
Step 648, Diff=0.0138015
Step 649, Diff=0.0138015
Step 650, Diff=0.0138015
Step 651, Diff=0.0138015
Step 652, Diff=0.0138015
Step 653, Diff=0.0138015
Step 654, Diff=0.0138015
Step 655, Diff=0.0138015
Step 656, Diff=0.0138015
Step 657, Diff=0.0138015
Step 658, Diff=0.0138015
Step 659, Diff=0.0138015
Step 660, Diff=0.0138015
Step 661, Diff=0.0138015
Step 662, Diff=0.0138015
Step 663, Diff=0.0138015
Step 664, Diff=0.0138015
Step 665, Diff=0.0138015
Step 666, Diff=0.0138015
Step 667, Diff=0.0138015
Step 668, Diff=0.0138015
Step 669, Diff=0.0138015
Step 670, Diff=0.0138015
Step 671, Diff=0.0138015
Step 672, Diff=0.0138015
Step 673, Diff=0.0138015
Step 674, Diff=0.0138015
Step 675, Diff=0.0138015
Step 676, Diff=0.0138015
Step 677, Diff=0.0138015
Step 678, Diff=0.0138015
Step 679, Diff=0.0138015
Step 680, Diff=0.0138015
Step 681, Diff=0.0138015
Step 682, Diff=0.0138015
Step 683, Diff=0.0138015
Step 684, Diff=0.0138015
Step 685, Diff=0.0138015
Step 686, Diff=0.0138015
Step 687, Diff=0.0138015
Step 688, Diff=0.0138015
Step 689, Diff=0.0138015
Step 690, Diff=0.0138015
Step 691, Diff=0.0138015
Step 692, Diff=0.0138015
Step 693, Diff=0.0138015
Step 694, Diff=0.0138015
Step 695, Diff=0.0138015
Step 696, Diff=0.0138015
Step 697, Diff=0.0138015
Step 698, Diff=0.0138015
Step 699, Diff=0.0138015
Step 700, Diff=0.0138015
Step 701, Diff=0.0138015
Step 702, Diff=0.0138015
Step 703, Diff=0.0138015
Step 704, Diff=0.0138015
Step 705, Diff=0.0138015
Step 706, Diff=0.0138015
Step 707, Diff=0.0138015
Step 708, Diff=0.0138015
Step 709, Diff=0.0138015
Step 710, Diff=0.0138015
Step 711, Diff=0.0138015
Step 712, Diff=0.0138015
Step 713, Diff=0.0138015
Step 714, Diff=0.0138015
Step 715, Diff=0.0138015
Step 716, Diff=0.0138015
Step 717, Diff=0.0138015
Step 718, Diff=0.0138015
Step 719, Diff=0.0138015
Step 720, Diff=0.0138015
Step 721, Diff=0.0138015
Step 722, Diff=0.0138015
Step 723, Diff=0.0138015
Step 724, Diff=0.0138015
Step 725, Diff=0.0138015
Step 726, Diff=0.0138015
Step 727, Diff=0.0138015
Step 728, Diff=0.0138015
Step 729, Diff=0.0138015
Step 730, Diff=0.0138015
Step 731, Diff=0.0138015
Step 732, Diff=0.0138015
Step 733, Diff=0.0138015
Step 734, Diff=0.0138015
Step 735, Diff=0.0138015
Step 736, Diff=0.0138015
Step 737, Diff=0.0138015
Step 738, Diff=0.0138015
Step 739, Diff=0.0138015
Step 740, Diff=0.0138015
Step 741, Diff=0.0138015
Step 742, Diff=0.0138015
Step 743, Diff=0.0138015
Step 744, Diff=0.0138015
Step 745, Diff=0.0138015
Step 746, Diff=0.0138015
Step 747, Diff=0.0138015
Step 748, Diff=0.0138015
Step 749, Diff=0.0138015
Step 750, Diff=0.0138015
Step 751, Diff=0.0138015
Step 752, Diff=0.0138015
Step 753, Diff=0.0138015
Step 754, Diff=0.0138015
Step 755, Diff=0.0138015
Step 756, Diff=0.0138015
Step 757, Diff=0.0138015
Step 758, Diff=0.0138015
Step 759, Diff=0.0138015
Step 760, Diff=0.0138015
Step 761, Diff=0.0138015
Step 762, Diff=0.0138015
Step 763, Diff=0.0138015
Step 764, Diff=0.0138015
Step 765, Diff=0.0138015
Step 766, Diff=0.0138015
Step 767, Diff=0.0138015
Step 768, Diff=0.0138015
Step 769, Diff=0.0138015
Step 770, Diff=0.0138015
Step 771, Diff=0.0138015
Step 772, Diff=0.0138015
Step 773, Diff=0.0138015
Step 774, Diff=0.0138015
Step 775, Diff=0.0138015
Step 776, Diff=0.0138015
Step 777, Diff=0.0138015
Step 778, Diff=0.0138015
Step 779, Diff=0.0138015
Step 780, Diff=0.0138015
Step 781, Diff=0.0138015
Step 782, Diff=0.0138015
Step 783, Diff=0.0138015
Step 784, Diff=0.0138015
Step 785, Diff=0.0138015
Step 786, Diff=0.0138015
Step 787, Diff=0.0138015
Step 788, Diff=0.0138015
Step 789, Diff=0.0138015
Step 790, Diff=0.0138015
Step 791, Diff=0.0138015
Step 792, Diff=0.0138015
Step 793, Diff=0.0138015
Step 794, Diff=0.0138015
Step 795, Diff=0.0138015
Step 796, Diff=0.0138015
Step 797, Diff=0.0138015
Step 798, Diff=0.0138015
Step 799, Diff=0.0138015
Step 800, Diff=0.0138015
Step 801, Diff=0.0138015
Step 802, Diff=0.0138015
Step 803, Diff=0.0138015
Step 804, Diff=0.0138015
Step 805, Diff=0.0138015
Step 806, Diff=0.0138015
Step 807, Diff=0.0138015
Step 808, Diff=0.0138015
Step 809, Diff=0.0138015
Step 810, Diff=0.0138015
Step 811, Diff=0.0138015
Step 812, Diff=0.0138015
Step 813, Diff=0.0138015
Step 814, Diff=0.0138015
Step 815, Diff=0.0138015
Step 816, Diff=0.0138015
Step 817, Diff=0.0138015
Step 818, Diff=0.0138015
Step 819, Diff=0.0138015
Step 820, Diff=0.0138015
Step 821, Diff=0.0138015
Step 822, Diff=0.0138015
Step 823, Diff=0.0138015
Step 824, Diff=0.0138015
Step 825, Diff=0.0138015
Step 826, Diff=0.0138015
Step 827, Diff=0.0138015
Step 828, Diff=0.0138015
Step 829, Diff=0.0138015
Step 830, Diff=0.0138015
Step 831, Diff=0.0138015
Step 832, Diff=0.0138015
Step 833, Diff=0.0138015
Step 834, Diff=0.0138015
Step 835, Diff=0.0138015
Step 836, Diff=0.0138015
Step 837, Diff=0.0138015
Step 838, Diff=0.0138015
Step 839, Diff=0.0138015
Step 840, Diff=0.0138015
Step 841, Diff=0.0138015
Step 842, Diff=0.0138015
Step 843, Diff=0.0138015
Step 844, Diff=0.0138015
Step 845, Diff=0.0138015
Step 846, Diff=0.0138015
Step 847, Diff=0.0138015
Step 848, Diff=0.0138015
Step 849, Diff=0.0138015
Step 850, Diff=0.0138015
Step 851, Diff=0.0138015
Step 852, Diff=0.0138015
Step 853, Diff=0.0138015
Step 854, Diff=0.0138015
Step 855, Diff=0.0138015
Step 856, Diff=0.0138015
Step 857, Diff=0.0138015
Step 858, Diff=0.0138015
Step 859, Diff=0.0138015
Step 860, Diff=0.0138015
Step 861, Diff=0.0138015
Step 862, Diff=0.0138015
Step 863, Diff=0.0138015
Step 864, Diff=0.0138015
Step 865, Diff=0.0138015
Step 866, Diff=0.0138015
Step 867, Diff=0.0138015
Step 868, Diff=0.0138015
Step 869, Diff=0.0138015
Step 870, Diff=0.0138015
Step 871, Diff=0.0138015
Step 872, Diff=0.0138015
Step 873, Diff=0.0138015
Step 874, Diff=0.0138015
Step 875, Diff=0.0138015
Step 876, Diff=0.0138015
Step 877, Diff=0.0138015
Step 878, Diff=0.0138015
Step 879, Diff=0.0138015
Step 880, Diff=0.0138015
Step 881, Diff=0.0138015
Step 882, Diff=0.0138015
Step 883, Diff=0.0138015
Step 884, Diff=0.0138015
Step 885, Diff=0.0138015
Step 886, Diff=0.0138015
Step 887, Diff=0.0138015
Step 888, Diff=0.0138015
Step 889, Diff=0.0138015
Step 890, Diff=0.0138015
Step 891, Diff=0.0138015
Step 892, Diff=0.0138015
Step 893, Diff=0.0138015
Step 894, Diff=0.0138015
Step 895, Diff=0.0138015
Step 896, Diff=0.0138015
Step 897, Diff=0.0138015
Step 898, Diff=0.0138015
Step 899, Diff=0.0138015
Step 900, Diff=0.0138015
Step 901, Diff=0.0138015
Step 902, Diff=0.0138015
Step 903, Diff=0.0138015
